player	player_id	position	team_name	player_game_count	avg_depth_of_target	avoided_tackles	caught_percent	contested_catch_rate	contested_receptions	contested_targets	declined_penalties	drop_rate	drops	first_downs	franchise_id	fumbles	grades_hands_drop	grades_hands_fumble	grades_offense	grades_pass_block	grades_pass_route	inline_rate	inline_snaps	interceptions	longest	pass_block_rate	pass_blocks	pass_plays	penalties	receptions	route_rate	routes	slot_rate	slot_snaps	targeted_qb_rating	targets	touchdowns	wide_rate	wide_snaps	yards	yards_after_catch	yards_after_catch_per_reception	yards_per_reception	yprr
Sam Pinckney	84197	WR	COAST CAR	13	12.4	13	64.5	50	11	22	0	7.8	6	42	141	1	65.7	53	72.4	61	73.3	0	0	3	48	0.2	1	416	2	71	93.5	389	7.2	30	91.3	110	3	92.8	386	996	222	3.1	14	2.56
Mac Hippenhammer	61591	WR	MIAMI OH	13	16.9	0	51.4	73.7	14	19	0	3.4	2	36	221	0	83.8	74.3	72.9		74	0	0	3	58	0	0	417	3	56	96.2	401	7.2	30	91	109	9	92.8	387	787	144	2.6	14.1	1.96
Elijah Cooks	61501	WR	S JOSE ST	12	13.3	8	64.2	50	20	40	0	5.4	4	50	285	0	79.7	75.5	83		83.6	0	0	0	52	0	0	497	1	70	93.8	466	11.1	55	127.7	109	10	88.9	442	1086	275	3.9	15.5	2.33
Tory Horton	128232	WR	COLO STATE	12	12.9	15	65.1	44.4	8	18	0	10.1	8	38	144	1	62.9	83	78.9		79.9	0.2	1	6	69	0	0	438	1	71	93.4	409	18.5	81	101.1	109	8	81.3	356	1131	415	5.8	15.9	2.77
Daniel George	84378	WR	AKRON	12	10	10	62	13.6	3	22	1	1.5	1	37	102	1	90.9	29.8	67	61.8	67.7	0	0	3	43	0.2	1	577	2	67	95.5	551	13.3	77	78.6	108	2	86.7	500	784	296	4.4	11.7	1.42
Jaylen Hall	61825	WR	W KENTUCKY	14	11.5	10	62.6	41.4	12	29	0	10.7	8	37	346	1	59.8	68.8	58.5		57.4	0	0	2	52	0	0	637	1	67	95.4	608	8	51	98.8	107	6	91.8	585	863	343	5.1	12.9	1.42
Grant DuBose	111276	WR	CHARLOTTE	12	11.7	12	59.4	44.8	13	29	1	8.7	6	43	136	0	66.6	63.4	71.6	61.2	72.8	0	0	4	52	0.2	1	466	2	63	91.2	425	13.5	63	95.4	106	9	86.1	401	793	302	4.8	12.6	1.87
Emeka Egbuka	145055	WR	OHIO STATE	13	10.2	7	69.8	52.9	9	17	0	6.3	5	53	260	0	76	86	82.9		83.7	1.2	5	2	69	0	0	407	1	74	94.8	386	67.8	276	129.1	106	10	30.7	125	1151	526	7.1	15.6	2.98
Bryce Ford-Wheaton	78127	WR	W VIRGINIA	12	11.5	5	59	52.9	18	34	0	8.8	6	36	343	0	66.5	74.8	69.7		70.3	0	0	6	67	0	0	414	1	62	94.2	390	5.8	24	76.5	105	7	94.2	390	675	265	4.3	10.9	1.73
Isaiah Williams	97156	WR	ILLINOIS	13	3.6	27	78.8	62.5	5	8	0	5.7	5	35	187	2	78.5	41.4	74.9	62.1	76.6	0.3	1	3	63	0.3	1	366	1	82	94	344	83.3	305	100.4	104	5	16.1	59	743	683	8.3	9.1	2.16
Ryan O'Keefe	101139	WR	UCF	13	6.5	16	71.2	37.5	3	8	0	10.8	9	33	323	0	59.4	67.1	69.7	64.5	67.5	0	0	1	68	0.5	2	400	1	74	93.3	373	45.3	181	103.4	104	5	54.5	218	750	500	6.8	10.1	2.01
Jeremy Singleton	61289	WR	GA SOUTHRN	12	9.1	2	64.1	26.9	7	26	0	2.9	2	31	174	0	87	75.1	68.7		68.5	0	0	4	65	0	0	458	0	66	95.2	436	7	32	74.7	103	2	92.8	425	714	288	4.4	10.8	1.64
Tre Harris	122676	WR	LA TECH	12	10.8	9	62.7	47.1	16	34	0	8.6	6	37	208	1	69.3	55.3	77.8	70.3	80.5	0.2	1	4	64	0.5	2	425	0	64	92.2	392	12.5	53	108.5	102	10	87.1	370	925	403	6.3	14.5	2.36
